Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
23.170238256454468	10	-0.7387276586079214	0.8026154238256565	0.8989920810191393	-2.753600345418683	160000
47.26653981208801	20	-0.4769663844396629	0.7722044708790354	1.3911136830503774	-2.7902832680706595	320000
71.4636435508728	30	-0.5573365962498937	0.6675465776649099	1.2334699933971576	-2.081571962151405	480000
95.77120590209961	40	-0.8107703954011259	0.8086116479690221	0.9172889619982474	-2.7673383540888747	640000
120.09557914733887	50	-0.8576564340570134	0.8325857211196654	1.440067980585708	-3.6559001462823697	800000
144.3881185054779	60	-0.690891540548054	0.7852677459929872	1.0280505192247484	-2.8001573777244024	960000
168.72096920013428	70	-0.4140868405682444	0.8260523572044628	1.2593965449013702	-2.278962981157357	1120000
192.76814246177673	80	-0.6108889392048333	0.8842055096865662	1.411755678717059	-3.0567672160064485	1280000
216.75073742866516	90	-0.6617074612012304	0.7508107845492422	0.9942613606300179	-2.7796098516901315	1440000
240.9403829574585	100	-0.760424634374631	0.7429011735538514	1.3627269270058089	-2.493603500867832	1600000
264.68951058387756	110	-0.6165611300206671	0.843564742478534	1.4531800297889577	-3.3936830509998694	1760000
288.6385087966919	120	-0.7712470400967001	0.8268275759016344	0.8599444778929894	-2.9134787987294954	1920000
312.5372211933136	130	-0.5465827206663298	0.7286799544644953	1.2199202803199853	-2.4446489944569345	2080000
336.86681842803955	140	-0.7392307783916019	0.7321450749940802	1.1400863358957352	-2.8214297713840266	2240000
360.98553133010864	150	-0.6629305079036278	0.7287795429956434	0.8911697910696857	-2.5981138172556464	2400000
385.000940322876	160	-0.6196403945222148	0.7789828531512213	1.6427180940532113	-2.8126619127161008	2560000
409.08182883262634	170	-0.6322420467935381	0.8682725844201249	1.2729530989948585	-3.026641657209004	2720000
432.91618728637695	180	-0.6415987741549972	0.8411605237296329	1.4436111067043995	-2.7651327151414553	2880000
456.8350214958191	190	-0.7390429964873667	0.8960784458123388	1.3371764281084961	-2.8802469536055004	3040000
482.45939588546753	200	-0.5864748074864238	0.7790627166423866	1.5998806226296716	-2.590821739142681	3200000
508.702570438385	210	-0.6007290197574925	0.7814554370573007	1.1851997641509766	-2.651760898880631	3360000
535.0975053310394	220	-0.617387526806962	0.8269773555945674	1.1393766232225797	-2.6474724027609264	3520000
561.5340754985809	230	-0.6570833124930143	0.7527400736406556	0.987270153166554	-2.47568705219735	3680000
